Date,"Advanced Micro Devices, Inc. _FT_Title","Advanced Micro Devices, Inc. _FT_Subtitle",titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTScore,Subtitles_finBERTLabel
2023-06-30T15:25:06+0000,Volkswagen/Tesla: plugging the gap in electric vehicle charger standards Premium content,"...Nikola Tesla and Thomas Edison battled over America’s electricity standards more than a century ago. This year, US electric vehicle maker Tesla is again gaining ground in a formats tussle....",Positive,0.9999558925628662,0.9999992847442627,Positive
2023-07-02T22:56:24+0000,Tesla delivers record number of cars as price cut pays off for Musk,...Read more about Tesla here....,Positive,0.9999986886978149,0.9998646974563599,Neutral
none,none,none,0,0.0,0.0,0
2023-07-02T17:49:56+0000,Tesla delivers record number of cars as price cut pays off for Musk,...Tesla shares rose 6 per cent in early trading....,Positive,0.9999986886978149,0.9878232479095459,Neutral
2023-07-03T11:41:45+0000,US tech stocks lifted by strong Tesla earnings,"...US tech stocks extended their first-half rally on Monday, with optimism further fuelled by better-than-forecast earnings from electric carmaker Tesla....",Positive,1.0,1.0,Positive
2023-06-26T04:00:05+0000,Tesla dominates US single-stock leveraged and inverse ETFs,"...Tesla, Pfizer, Nike, Nvidia and PayPal have come to market....",Neutral,0.9999874830245972,0.9999973773956299,Neutral
2023-06-08T21:12:10+0000,Tesla to allow GM vehicles access to fast-charging stations,"...GM drivers will be able to use Tesla’s fast-charging stations early next year, similar to the agreement that Ford and Tesla announced last month....",Neutral,0.655175507068634,0.9807875156402588,Neutral
none,none,none,0,0.0,0.0,0
2023-06-08T22:45:29+0000,Tesla to allow GM vehicles access to fast-charging stations,...GM drivers will be able to use Tesla’s fast-charging stations early next year in an arrangement similar to that announced by Ford and Tesla last month....,Neutral,0.655175507068634,0.9857757091522217,Neutral
2023-06-28T05:32:03+0000,FTAV’s further reading,"...(NYT Magazine $)

— Lucid scores a sorely needed win with Aston Martin’s EV order (BBG $)

— Matt Bruenig on used car prices

— Matt Stoller thread on Microsoft/Activision (Twitter)

— A thirsty new Tesla...",Neutral,0.999839186668396,0.9997678399085999,Positive
2023-05-05T06:00:06+0000,The trouble with making Tesla’s economics work at any cost,...Further reading:FT.com/Tesla...,Negative,0.9999734163284302,0.9999886751174927,Neutral
2023-05-08T03:00:48+0000,Letter: We never see Tesla chief as an industrial entrepreneur,"From: David Spirakis, Venice, CA, US ",Negative,0.831748366355896,0.9998581409454346,Neutral
2023-06-01T04:00:06+0000,‘Everyone will get affected’: Tesla jolts EV charging industry,"...Tesla operates more than 19,000 fast chargers....",Neutral,0.9994899034500122,0.9999780654907227,Neutral
2023-05-25T23:35:41+0000,Tesla to open its fast-charging stations to Ford drivers,"...“We don’t want the Tesla Supercharger network to be like a walled garden,” Musk said....",Neutral,0.9998363256454468,0.9999679327011108,Neutral
2023-05-17T00:32:36+0000,"Tesla will ‘try a little advertising’, Elon Musk says","...Tesla fans and shareholders expressed some frustration that the wider public was often unaware of the carmaker’s features, as Tesla increases production for a mainstream audience....",Neutral,0.9992927312850952,0.9999703168869019,Negative
2023-04-19T22:55:27+0000,Price cuts eat into Tesla’s first quarter margins,"...Tesla did not disclose the gross profit margin from its automotive business, which had been one of the most closely followed measures of its profitability....",Negative,0.9969858527183533,0.999870777130127,Neutral
2023-04-19T20:27:32+0000,Price cuts eat into Tesla’s first quarter margins,"...Tesla did not disclose the gross profit margin from its automotive business, which had been one of the most closely followed measures of its profitability....",Negative,0.9969858527183533,0.999870777130127,Neutral
none,none,none,0,0.0,0.0,0
2023-04-28T02:05:06+0000,Tesla rival BYD sees profits leap 400% as China extends EV dominance,...Tesla rival BYD has reported a more than fivefold jump in net earnings for the first quarter as the Warren Buffett-backed Chinese group shook off a price war and the slowing growth that has roiled rivals...,Positive,0.9999973773956299,1.0,Positive
2023-04-25T00:42:14+0000,"Tesla: the problem is Musk’s multitasking, not his stake  Premium content","...Yet, thanks to a generous pay deal, his stake in Tesla remains steady.

In 2018, Musk owned 22 per cent of Tesla....",Negative,0.9991204142570496,0.9736509919166565,Positive
2023-04-24T02:43:09+0000,Economics class: Elon Musk signals willingness to sacrifice Tesla margins for market share,"...With reference to the quote, analyse the implications for the price elasticity of demand of Tesla cars

In oligopoly, we refer to the kinked demand curve....",Negative,0.9979871511459351,0.9999856948852539,Neutral
2023-04-21T09:50:26+0000,Tesla increases prices of expensive models as fears rise over profits,"...Tesla raised prices on the Model S and X in the US by $2,500 on Thursday, partly reversing a larger cut made earlier in the month....",Positive,0.9549239873886108,0.5289419889450073,Positive
2023-04-20T16:03:54+0000,Renault criticises Tesla for cutting electric-vehicle prices,"...“The market is worried about pricing coming off after Tesla,” Houchois said....",Negative,0.9997804760932922,0.8196645975112915,Negative
2023-04-04T23:01:38+0000,Tesla is disrupting the car battery industry,...Tesla has ramped up battery production in the US in recent months....,Negative,0.9999978542327881,0.9781088829040527,Neutral
2023-04-19T23:58:55+0000,Elon Musk signals willingness to sacrifice Tesla margins for market share,"...Tesla has announced price cuts of up to 20 per cent on some versions of the Model 3 and Model Y, its biggest-selling vehicles....",Negative,0.999984622001648,0.9013990759849548,Neutral
2023-07-03T10:32:24+0000,FirstFT: Apple forced to slash Vision Pro headset production target,"...Tesla delivered 466,000 vehicles between April and June, a record number for the second quarter....",Negative,0.8364464044570923,1.0,Positive
2023-06-18T11:00:42+0000,GM tries to catch Tesla by following its supply chain playbook,"...That is about three and a half times what Tesla has in North America.

If GM can carry out its plans, “they can probably catch up and surpass Tesla’s North American volumes”, Abuelsamid said....",Neutral,0.9985466599464417,0.5100465416908264,Neutral
2023-04-02T17:39:47+0000,Tesla rolls out record number of new cars in first quarter,"...At Tesla’s investor day in early March, Musk said: “The desire for people to own a Tesla is extremely high. The limiting factor is their ability to pay for a Tesla.”...",Positive,0.9999996423721313,0.6914960741996765,Neutral
2023-03-28T04:00:38+0000,"Tesla cars lose value faster than rival models after price cuts, data shows",...Tesla declined to comment on the resale data....,Negative,0.9999258518218994,0.9946133494377136,Neutral
2023-05-26T06:25:04+0000,FTAV’s further reading,"...Germany’s Handelsblatt has gotten its hands on 100gb of internal data from Tesla insiders (Handelsblatt)

— Get Ready for Team America: AI Police (The Register)

— How some people get away with doing nothing...",Neutral,0.999839186668396,0.9998377561569214,Neutral
none,none,none,0,0.0,0.0,0
2023-03-06T16:27:17+0000,Tesla enacts second price cut of 2023 to boost demand,"...Tesla cut the prices of its most expensive models in the US for a second time this year, further reversing steep price increases that had contributed to a tumble in demand late last year....",Positive,0.9999992847442627,0.9999979734420776,Negative
2023-05-07T04:00:08+0000,Will a price war accelerate the switch to electric cars?,...Tesla has now promised to go even further....,Neutral,0.518211841583252,0.9888413548469543,Neutral
2023-03-10T00:00:14+0000,Letter: Musk’s delight and Tesla’s demand may be shortlived,"...Elon Musk remarked that “we weren’t sure about what the price elasticity of demand was for Tesla” (“Tesla sets out to widen its reach with cheaper car”, Report, March 3)....",Negative,0.7175676226615906,0.9996857643127441,Neutral
2023-02-28T15:11:45+0000,Mexico’s president says Tesla to build new factory in Monterrey,"...He said Tesla would give more detail on the plant tomorrow when it holds its investor day.

“It’s good news, yes, the company Tesla is coming,” López Obrador said....",Neutral,0.9999463558197021,0.9018427133560181,Positive
none,none,none,0,0.0,0.0,0
2023-02-17T10:30:37+0000,Index funds now own more of Tesla than Musk,"...(Astute readers will now understand why we’ve been checking Tesla’s shareholder registry so frequently of late.)

Some caveats....",Neutral,0.9997974038124084,0.9997959733009338,Neutral
2023-02-17T01:00:59+0000,Letter: Musk price cuts damage Tesla’s ‘exclusivity’ claims,"...With marques including Porsche, Audi and even Kia offering products that rival and even surpass Tesla in terms of performance and range, Tesla would do well to position itself as the Apple of the automotive...",Negative,0.9389768838882446,1.0,Positive
2023-03-06T18:18:42+0000,Tesla cuts prices of some electric vehicles for a second time,"...Tom Zhu, head of Tesla China and the executive responsible for the company’s global manufacturing plants, also said the price cuts had led to an increase in market share in China, where Tesla has faced a...",Neutral,0.723029375076294,0.9998708963394165,Positive
2023-02-28T04:53:14+0000,Tesla boosts South Korean battery company with $2.9bn cathode order,"...Shares of L&F, a South Korean battery material producer, jumped 8 per cent on Tuesday afternoon, buoyed by its $2.9bn order from Tesla and its affiliates to supply cathode materials, a component for electric...",Positive,0.9999998807907104,0.9999992847442627,Positive
2023-03-02T01:56:15+0000,Tesla touts cost efficiencies as it gears up for more affordable models,...Read more about Tesla’s investor day here....,Positive,0.9999997615814209,0.9999871253967285,Neutral
2023-03-05T20:23:17+0000,Economics class: Tesla touts cost efficiencies as it gears up for more affordable model,"...cost efficiencies as it gears up for more affordable model

Tesla plans to produce a new, large-volume vehicle at a new facility in Mexico....",Positive,0.9999985694885254,0.9996429681777954,Positive
2023-02-16T23:18:36+0000,"Tesla self-driving glitch leads to 363,000 vehicle recalls","...Tesla is recalling nearly 363,000 vehicles because flaws in the beta version of its full self-driving software could cause crashes, according to a government regulator....",Neutral,0.563816249370575,0.9997915625572205,Negative
2023-02-16T19:03:43+0000,"Tesla self-driving glitch leads to 363,000 vehicle recalls","...Tesla is recalling nearly 363,000 vehicles because flaws in the beta version of its full self-driving software could cause crashes, according to a government regulator....",Neutral,0.563816249370575,0.9997915625572205,Negative
2023-03-29T04:47:54+0000,Tesla’s price war in China backfires as BYD sales surge,"...In the first two months of the year, the Shenzhen-based group sold more than five times the number of units that Tesla did in China....",Negative,0.7101892828941345,0.9986069798469543,Neutral
none,none,none,0,0.0,0.0,0
2023-04-09T13:11:27+0000,Tesla boosts China investment with plans for Shanghai battery factory,...Tesla said products produced at its battery plant would be sold worldwide....,Positive,0.9999995231628418,0.9999994039535522,Neutral
2023-03-02T14:59:56+0000,Tesla touts cost efficiencies as it gears up for more affordable model,...Chief executive Elon Musk said “affordability” was the biggest barrier to Tesla reaching a far bigger market....,Positive,0.9999995231628418,0.9492935538291931,Neutral
2023-02-09T14:50:23+0000,Tesla: resilient carmaker gives shorts $7bn headache Premium content,...Tesla has reclaimed its spot as the most shorted large stock on the US market....,Positive,0.9999256134033203,0.9977321624755859,Neutral
2023-02-15T13:51:27+0000,Tesla to open some chargers in US to EVs from other automakers,"...Drivers will be able to access the open charging stations via the Tesla app or website.

Tesla will also more than double its overall national charging network, the White House added....",Neutral,0.9999516010284424,0.9995416402816772,Positive
2023-02-16T09:49:03+0000,Has Natixis made $17bn gain on a huge Tesla bet? (No),"...In fact, Natixis only currently holds 1.64mn shares, or about 0.05 per cent of Tesla. Whoops!...",Neutral,0.9980887770652771,0.9999992847442627,Neutral
2023-01-18T05:14:32+0000,A turning point for Tesla?,"...So that’s what the Tesla critics say. But Tesla fans would have something else to say about this, right?...",Neutral,0.9994926452636719,0.9997937083244324,Neutral
2023-02-28T11:54:02+0000,Tesla suppliers: L&F’s $2.9bn order is a down payment on resilience Premium content,...Please tell us what you think of Tesla’s supply diversification strategy in the comments section below....,Neutral,0.9901202917098999,0.99998939037323,Neutral
2023-04-28T03:17:34+0000,Tesla rival BYD’s profit soars more than 400% in first quarter,...Elon Musk’s Tesla ranked second with around 11 per cent of the EV market following year-on-year sales growth of 27 per cent....,Positive,0.9999997615814209,0.9518170356750488,Positive
2023-02-03T23:08:41+0000,Elon Musk wins investor lawsuit over Tesla ‘funding secured’ tweet,...The case centred on his August 7 2018 tweet declaring he was considering taking Tesla private at $420 a share and had funding secured to do so....,Neutral,0.6543045043945312,0.9999954700469971,Neutral
2023-04-25T01:56:58+0000,"Only 10 carmakers will survive global EV battle, says Tesla rival Xpeng","...The world’s largest carmaker Toyota sold 10.5mn cars in 2022, while Tesla sold 1.3mn.

The warning comes at a historic juncture for the global car industry....",Neutral,0.9967328310012817,0.9996247291564941,Neutral
2023-02-05T22:43:09+0000,Business class: Electric vehicles defy price war after Ford and Tesla discounts,"...is the most important element of the marketing mix for EV manufacturers such as Tesla and Ford

Peter McGinn, Harton Academy...",Negative,0.9938117265701294,0.9999986886978149,Neutral
2023-01-04T18:47:04+0000,Tesla’s Springfield Gorge trajectory,"...To illustrate, here’s a risk-reward chart from Tesla superfan Adam Jonas of Morgan Stanley and his underlying assumptions, Though Tesla continues to promise 50 per cent CAGR in the medium term after doing...",Neutral,0.9999872446060181,0.8172547817230225,Neutral
none,none,none,0,0.0,0.0,0
