Date,"Quanta Services, Inc. _FT_Title","Quanta Services, Inc. _FT_Subtitle",titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTScore,Subtitles_finBERTLabel,"Quanta Services, Inc. _FT_Title_GPT","Quanta Services, Inc. _FT_Subtitle_GPT"
2023-06-30T15:25:06+0000,Volkswagen/Tesla: plugging the gap in electric vehicle charger standards Premium content,"...Nikola Tesla and Thomas Edison battled over America’s electricity standards more than a century ago. This year, US electric vehicle maker Tesla is again gaining ground in a formats tussle....",Positive,0.9999558925628662,0.9999992847442628,Positive, Neutral,"

positive"
2023-07-02T22:56:24+0000,Tesla delivers record number of cars as price cut pays off for Musk,...Read more about Tesla here....,Positive,0.9999986886978148,0.99986469745636,Neutral, Positive, Neutral
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-07-02T17:49:56+0000,Tesla delivers record number of cars as price cut pays off for Musk,...Tesla shares rose 6 per cent in early trading....,Positive,0.9999986886978148,0.987823247909546,Neutral, Positive, Positive
2023-07-03T17:45:06+0000,Shares in electric vehicle makers Rivian and Tesla surge after strong volume data,...Sales increased after Tesla cut prices in January and March....,Positive,0.999976396560669,0.9998788833618164,Positive, Positive, Positive
2023-07-03T11:41:45+0000,Wall Street stocks edge higher as Tesla boosts tech shares,...The economic worries overshadowed a 6.8 per cent rise in Tesla after the electric-carmaker beat expectations with its second-quarter results....,Positive,1.0,0.9999998807907104,Positive, Positive, Positive
2023-06-26T04:00:05+0000,Tesla dominates US single-stock leveraged and inverse ETFs,"...Tesla, Pfizer, Nike, Nvidia and PayPal have come to market....",Neutral,0.9999874830245972,0.99999737739563,Neutral, positive, Positive
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-06-08T21:12:10+0000,Tesla to allow GM vehicles access to fast-charging stations,"...GM drivers will be able to use Tesla’s fast-charging stations early next year, similar to the agreement that Ford and Tesla announced last month....",Neutral,0.655175507068634,0.9807875156402588,Neutral, Neutral, Positive
2023-06-08T22:45:29+0000,Tesla to allow GM vehicles access to fast-charging stations,...GM drivers will be able to use Tesla’s fast-charging stations early next year in an arrangement similar to that announced by Ford and Tesla last month....,Neutral,0.655175507068634,0.9857757091522216,Neutral, Neutral, Positive
2023-06-28T05:32:03+0000,FTAV’s further reading,"...(NYT Magazine $)

— Lucid scores a sorely needed win with Aston Martin’s EV order (BBG $)

— Matt Bruenig on used car prices

— Matt Stoller thread on Microsoft/Activision (Twitter)

— A thirsty new Tesla...",Neutral,0.999839186668396,0.9997678399086,Positive, Neutral, Neutral
2023-05-05T06:00:06+0000,The trouble with making Tesla’s economics work at any cost,...Further reading:FT.com/Tesla...,Negative,0.9999734163284302,0.9999886751174928,Neutral, negative, Neutral
2023-05-08T03:00:48+0000,Letter: We never see Tesla chief as an industrial entrepreneur,"From: David Spirakis, Venice, CA, US ",Negative,0.831748366355896,0.9998581409454346,Neutral, Neutral,"

positive"
2023-06-01T04:00:06+0000,‘Everyone will get affected’: Tesla jolts EV charging industry,"...Tesla operates more than 19,000 fast chargers....",Neutral,0.9994899034500122,0.9999780654907228,Neutral, Neutral, Positive
2023-05-25T23:35:41+0000,Tesla to open its fast-charging stations to Ford drivers,"...“We don’t want the Tesla Supercharger network to be like a walled garden,” Musk said....",Neutral,0.9998363256454468,0.9999679327011108,Neutral, Neutral, Neutral
2023-05-17T00:32:36+0000,"Tesla will ‘try a little advertising’, Elon Musk says","...Tesla fans and shareholders expressed some frustration that the wider public was often unaware of the carmaker’s features, as Tesla increases production for a mainstream audience....",Neutral,0.9992927312850952,0.999970316886902,Negative, Neutral,"

negative"
2023-04-19T22:55:27+0000,Price cuts eat into Tesla’s first quarter margins,"...Tesla did not disclose the gross profit margin from its automotive business, which had been one of the most closely followed measures of its profitability....",Negative,0.9969858527183532,0.999870777130127,Neutral, negative,"

neutral"
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-04-19T20:27:32+0000,Price cuts eat into Tesla’s first quarter margins,"...Tesla did not disclose the gross profit margin from its automotive business, which had been one of the most closely followed measures of its profitability....",Negative,0.9969858527183532,0.999870777130127,Neutral, negative,"

neutral"
2023-04-28T02:05:06+0000,Tesla rival BYD sees profits leap 400% as China extends EV dominance,...Tesla rival BYD has reported a more than fivefold jump in net earnings for the first quarter as the Warren Buffett-backed Chinese group shook off a price war and the slowing growth that has roiled rivals...,Positive,0.99999737739563,1.0,Positive, positive, Positive
2023-04-25T00:42:14+0000,"Tesla: the problem is Musk’s multitasking, not his stake  Premium content","...Yet, thanks to a generous pay deal, his stake in Tesla remains steady.

In 2018, Musk owned 22 per cent of Tesla....",Negative,0.9991204142570496,0.9736509919166564,Positive, positive, Positive
2023-04-24T02:43:09+0000,Economics class: Elon Musk signals willingness to sacrifice Tesla margins for market share,"...With reference to the quote, analyse the implications for the price elasticity of demand of Tesla cars

In oligopoly, we refer to the kinked demand curve....",Negative,0.9979871511459352,0.999985694885254,Neutral, Neutral, Neutral
2023-04-21T09:50:26+0000,Tesla increases prices of expensive models as fears rise over profits,"...Tesla raised prices on the Model S and X in the US by $2,500 on Thursday, partly reversing a larger cut made earlier in the month....",Positive,0.9549239873886108,0.5289419889450073,Positive, Positive, Positive
2023-04-20T16:03:54+0000,Renault criticises Tesla for cutting electric-vehicle prices,"...“The market is worried about pricing coming off after Tesla,” Houchois said....",Negative,0.9997804760932922,0.8196645975112915,Negative, negative, Neutral
2023-04-19T23:58:55+0000,Elon Musk signals willingness to sacrifice Tesla margins for market share,"...Tesla has announced price cuts of up to 20 per cent on some versions of the Model 3 and Model Y, its biggest-selling vehicles....",Negative,0.999984622001648,0.9013990759849548,Neutral, Neutral, Neutral
2023-04-04T23:01:38+0000,Tesla is disrupting the car battery industry,...Tesla has ramped up battery production in the US in recent months....,Negative,0.999997854232788,0.9781088829040528,Neutral, positive, Positive
