Date,world-uk_Titles,world-uk_Subtitles,titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTLabel,Subtitles_finBERTScore
2023-06-30T18:03:45.347Z,Thames Water shareholder shows support for troubled company ,Universities Superannuation Scheme gives backing to turnround plan as Severn Water boss tries to rally sector against nationalisation,Positive,0.9999943971633911,Neutral,0.8287944197654724
2023-06-30T17:58:32.940Z,England’s ill-fated experiment with privatising water,Problems at Thames show how sector was reshaped by financial engineering,Neutral,0.9871538281440735,Negative,0.9999476671218872
2023-06-30T17:36:29.982Z,"Austerity is back, and this time it’s monetary",The Bank of England must avoid overdosing the economy and tolerate above-target inflation for a little longer,Negative,0.5087661743164062,Negative,0.7418459057807922
2023-06-30T17:15:02.587Z,Double dose of inflation news cheers investors,"Also in this newsletter: Apple valuation back above $3tn, factory activity shrinks again in China, science round-up ",Positive,0.7771289944648743,Negative,0.9954172372817993
2023-06-30T17:14:35.233Z,Odey Asset Management pushes to restructure one of its oldest funds,Move to rehome Freddie Neave’s portfolio follows in the wake of sexual assault claims against firm’s founder,Neutral,0.9990068078041077,Neutral,0.894378662109375
none,none,none,0,0.0,0,0.0
2023-06-30T17:10:30.147Z,City veteran Montague takes on next challenge at Thames Water,Former colleagues say new chair will need all his experience of government and business to fix debt-laden utility,Neutral,0.8944354057312012,Neutral,0.9999423027038574
2023-06-30T16:29:10.158Z,Auditors flag issue with Scottish National party’s accounts,Accountants provide a qualified audit opinion after highlighting missing documents,Neutral,0.6367520093917847,Neutral,0.9999313354492188
2023-06-30T16:25:59.326Z,Partygate inquiry official Sue Gray to start work for Labour in September ,Whitehall vetting body finds no evidence ex-senior civil servant favoured opposition party in old job,Neutral,0.9866133332252502,Neutral,0.9999375343322754
2023-06-30T15:56:47.780Z,Will Jeremy Hunt’s cost of living ‘action plan’ rescue UK consumers?,Campaigners say more needs to be done in the battle to reduce bills and increase savings rates,Neutral,0.673008143901825,Neutral,0.9769986271858215
none,none,none,0,0.0,0,0.0
2023-06-30T15:45:52.398Z,UK housing: higher interest rates support demand for rental property Premium content,Sales will continue to be impeded by rising financing costs,Positive,0.9999982118606567,Negative,0.9999994039535522
2023-06-30T15:01:50.365Z,Tory minister Zac Goldsmith quits after MPs’ partygate rebuke,Boris Johnson ally attacks UK prime minister for being ‘uninterested’ in climate issues,Neutral,0.9999595880508423,Neutral,0.9784391522407532
none,none,none,0,0.0,0,0.0
2023-06-30T15:00:02.474Z,Britain must break out of its doom loop,"Brexit, Covid and terrible governments have left their scars but our national despondency is becoming a trap",Neutral,0.9992539286613464,Negative,0.9676081538200378
2023-06-30T14:26:03.030Z,HMRC criticised over year-long tax probe delay,Contractors challenge authority’s claims over managed service company law  ,Negative,0.9996376037597656,Neutral,0.6495630741119385
2023-06-30T13:30:22.000Z,The crisis facing the UK water industry,Plus: Appeal court’s Rwanda ruling deals a blow to ministers,Negative,0.9999960660934448,Neutral,0.9747155904769897
2023-06-30T13:08:39.211Z,Some pointless charts about the BoE’s Monetary Policy Committee,"Marking Tenrexit, with data",Neutral,0.9999090433120728,Neutral,0.9999456405639648
2023-06-30T13:00:02.498Z,Wimbledon embraces change in tennis,The sport is shifting to a younger generation of players and new forms of funding and governance,Positive,0.5123497843742371,Neutral,0.9997656941413879
none,none,none,0,0.0,0,0.0
2023-06-30T10:28:43.156Z,Time to make waves in my portfolio,Slow and steady no longer does it for me — time for some fun,Neutral,0.9993051290512085,Negative,0.930080771446228
2023-06-30T10:00:02.415Z,Will beavers be eager for London life?,"Surplus Scottish rodents are to be rehomed in Ealing this autumn, where it is hoped they can help restore an ecosystem  ",Neutral,0.9999130964279175,Neutral,0.7378021478652954
2023-06-30T09:24:23.562Z,UK house prices tick up despite surging mortgage rates,"Property market exceeds forecasts with 0.1% rise between May and June, lender Nationwide says",Positive,0.9794115424156189,Positive,0.9980738162994385
2023-06-30T08:30:02.741Z,Rwanda plan flaws are not separate from moral argument against it ,Threats to freedom and democracy are behind pragmatic shortcomings of policy to curb small boat crossings,Neutral,0.5338302850723267,Negative,0.803886890411377
2023-06-30T04:00:03.771Z,Trade-off between EV sales and EU relations leaves carmakers in a fog,UK wants to increase electric car use but this will cost business tariffs under post-Brexit deal with Europe ,Neutral,0.9959014058113098,Neutral,0.9715903401374817
2023-06-30T04:00:03.692Z,Who would want to take on a fixer-upper?,"The soaring price of materials, a lack of skilled labour and surging mortgage rates have put many renovation plans in the UK on hold",Neutral,0.9988099336624146,Negative,0.9999984502792358
2023-06-30T04:00:03.687Z,The high rise and fall of Canary Wharf,HSBC’s decision to leave underlines London financial district’s need to reinvent itself again,Neutral,0.998134434223175,Negative,0.9940565824508667
2023-06-30T04:00:03.577Z,Retail bond investors chase corporate issues,Hargreaves Lansdown launches corporate bond fund in response to demand,Neutral,0.999832272529602,Neutral,0.9802826642990112
2023-06-30T04:00:03.500Z,Why do some UK cities punch below their weight?,Poor transport between cities beyond the south-east is holding back Manchester and Birmingham ,Neutral,0.6708819270133972,Negative,0.9999992847442627
2023-06-30T04:00:03.378Z,Sotheby’s Klimt gives London sales a record-breaking boost,Christie’s sells Signac after settlement agreement; report finds ‘flipped’ art doubled in 2022,Positive,1.0,Neutral,0.9999878406524658
2023-06-30T04:00:03.330Z,The squeezed middle — how do managers cope?,Training and clarity on what is expected of mid-level supervisors are key for them to do their jobs well,Neutral,0.5309963226318359,Neutral,0.9990929365158081
2023-06-29T23:05:03.107Z,"Overhaul of courts in England and Wales beset by problems, say MPs",Digital case-management system and delays to reforms highlighted by report,Negative,0.6981753706932068,Negative,0.999996542930603
2023-06-29T23:04:59.810Z,"Waste reduction plans in England ‘do not exist’, watchdog warns",Four years after outlining ambitious targets ministers have made little progress ,Negative,0.914846658706665,Negative,0.9999964237213135
2023-06-29T21:31:05.888Z,NHS aims to double training places for doctors and nurses ,Long-awaited plan for health service workforce in England seeks to tackle staffing crisis and waiting lists,Neutral,0.9992239475250244,Negative,0.7143389582633972
none,none,none,0,0.0,0,0.0
2023-06-29T20:00:24.233Z,ECB hawks take aggressive stance on rates after UK inflation wake-up call,"Persistent price pressures facing BoE boost case for keeping borrowing costs high, say eurozone policymakers",Neutral,0.9314804077148438,Negative,0.9810845851898193
2023-06-29T18:22:48.845Z,Nigel Farage says he is being driven from UK by pro-Remain banks,Ex-Brexit party leader claims ‘serious political persecution’ as accounts face closure ,Neutral,0.9999955892562866,Negative,0.4984011650085449
2023-06-29T17:54:14.175Z,UK regulator to crack down on electricity generators making ‘excessive profits’,Ofgem proposes reform after finding some power station owners held back supplies to secure higher prices,Negative,0.9999632835388184,Neutral,0.9986901879310608
2023-06-29T17:37:35.214Z,Chancellor’s ‘stealth tax’ sweeps earners into higher-rate bands,Number of higher-rate taxpayers set to surge to 5.6mn ,Neutral,0.9923263788223267,Positive,0.9998024106025696
none,none,none,0,0.0,0,0.0
2023-06-29T17:20:37.487Z,Why Thames Water is under growing strain,Cost of utility’s £16bn debt has surpassed price increases it has been able to pass on to consumers,Negative,0.9479248523712158,Positive,0.9995911717414856
2023-06-29T17:17:10.149Z,Sturgeon admits Scotland’s Covid planning was ‘inadequate’,Former first minister says diversion of resources to no-deal Brexit hindered pandemic strategy,Negative,0.9236265420913696,Negative,0.999729573726654
none,none,none,0,0.0,0,0.0
2023-06-29T17:05:04.664Z,Ministers seek to overturn ruling against UK migration plan ,Court of Appeal finds that scheme to deport asylum seekers to Rwanda is unlawful ,Neutral,0.9552394151687622,Neutral,0.9905546307563782
2023-06-29T16:28:53.711Z,City minister rejects claims listing reforms would hurt London’s standing,Andrew Griffith and LSE chief Julia Hoggett defend FCA’s planned shake-up from complaints by top investors,Negative,0.9998772144317627,Neutral,0.985343873500824
2023-06-29T16:00:24.365Z,Unlocking the UK-EU Horizon deal Premium content,Also in this week’s newsletter: EU signs off on financial services discussion forum,Positive,0.9999113082885742,Neutral,0.9999874830245972
2023-06-29T15:22:37.004Z,Now is a time of tough choices — including on the 2% inflation target,That goal should be subject to public scrutiny and judged against the demands of the moment,Negative,0.8368101119995117,Neutral,0.9994745850563049
2023-06-29T14:58:19.216Z,Bank of England unveils post-Brexit overhaul of insurers’ rules ,Central bank’s regulation arm says Solvency II proposals will ‘reduce bureaucracy’,Neutral,0.9788529276847839,Positive,0.43747037649154663
none,none,none,0,0.0,0,0.0
2023-06-29T14:57:42.638Z,Immigration: outsourcers will receive contracts surge — and painful scrutiny Premium content,Risks such as scandals around the treatment of migrants can destabilise businesses,Positive,0.9615597724914551,Negative,0.9995148181915283
2023-06-29T12:09:39.911Z,Hard-pressed UK households withdraw record amount from banks  ,Customers pull £4.6bn from accounts in May to pay bills and access higher interest rates,Negative,0.8871766328811646,Neutral,0.9985933899879456
2023-06-29T11:25:19.522Z,Thames Water appoints Montague as chair ,Veteran troubleshooter brought in as government contemplates potential taxpayer rescue,Neutral,0.9999880790710449,Negative,0.9999662637710571
2023-06-29T10:30:18.514Z,Boris Johnson allies censured over attacks on MPs probing partygate,"Former cabinet ministers Rees-Mogg, Dorries and Patel among those criticised for attacking UK parliamentary committee",Neutral,0.8698949813842773,Neutral,0.9273985028266907
