Date,world_Titles,world_Subtitles,titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTLabel,Subtitles_finBERTScore
2023-07-03T04:00:10.427Z,A defining moment for central banking,"In the face of a stubborn trilemma of challenges, central banks need help to restore policy credibility",Neutral,0.9997225403785706,Negative,0.4815137982368469
2023-07-03T04:00:10.426Z,"Water has a private equity, not a private ownership, issue",The listed groups are less geared and have made a better start at tackling problems with ailing infrastructure,Neutral,0.9999071359634399,Positive,0.9999810457229614
2023-07-03T03:00:11.666Z,Drone start-up to test investor appetite for defence tech with €50mn fundraising,Tekever among clutch of manufacturers that have gained prominence because of Ukraine war,Neutral,0.9999736547470093,Negative,0.5335670709609985
2023-07-03T03:00:11.665Z,NHS plans wider rollout of UK subscription model for antibiotics,"Successful pilot in England will be expanded to more pharma companies and include N Ireland, Scotland and Wales ",Neutral,0.99980229139328,Neutral,0.9989908337593079
2023-07-03T02:24:48.008Z,Yellen to visit China in new US effort to ease tensions,Treasury secretary follows Antony Blinken in trying to stabilise relations after spy balloon incident,Neutral,0.99973064661026,Neutral,0.9999772310256958
none,none,none,0,0.0,0,0.0
2023-07-03T02:00:09.865Z,Mukesh Ambani seeks winning edge over Disney in India’s streaming battle,Asia’s richest man is on a mission to transform Reliance Industries into a digital group,Positive,0.999261200428009,Neutral,0.9958381652832031
2023-07-03T01:12:28.612Z,Vietnam becomes vital link in supply chain as business pivots from China,Rising investment amid geopolitical tensions puts infrastructure under strain,Positive,0.7015023231506348,Negative,0.9999881982803345
2023-07-03T00:15:34.758Z,Japan arms itself for global chip wars with $6.4bn state-backed deal,JSR chief hopes take-private move will encourage other semiconductor groups to consider merger talks,Neutral,0.9996219873428345,Neutral,0.9999877214431763
2023-07-02T23:10:12.328Z,Japan and Sustainability,Ammonia pushed as low-carbon fuel. Battery supply recycling challenge. Incinerators mask policy flaws. Fish stocks worry spurs quest for fake taste. Data analytics ease care home workload. Rice-based plastics and snow coolants aid climate goal effort,Neutral,0.8152299523353577,Positive,0.9991610050201416
none,none,none,0,0.0,0,0.0
2023-07-02T23:01:34.904Z,Japan’s EV ambitions pose battery recycling conundrum,Reliance on imports means policymakers face tough decisions on reuse,Neutral,0.9170387387275696,Negative,0.6095479130744934
2023-07-02T23:01:34.886Z,Japanese industry steps up ammonia push in efforts to cut CO₂,Engineering groups point to benefits in race for low-carbon fuels,Negative,0.4131265878677368,Positive,1.0
none,none,none,0,0.0,0,0.0
