Date,uk-companies_Titles,uk-companies_Subtitles,titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTLabel,Subtitles_finBERTScore
2023-07-03T13:15:33.375Z,UK to investigate banks blacklisting accounts over political views,Former Brexit party leader claims he is being ‘forced out’ by UK establishment after accounts shut down,Neutral,0.9286264777183532,Neutral,0.728201687335968
2023-07-03T12:00:12.900Z,Eurovita/Cinven: flop raises concerns on buyout push into insurance Premium content,Regulators are right to focus on medium-term investors with responsibility for long-term liabilities,Negative,0.99988853931427,Neutral,0.9999828338623048
2023-07-03T10:45:01.859Z,"Weak petrol competition pushes up prices for UK consumers, watchdog says","Average supermarket fuel margins climbed 6p a litre between 2019 and 2022, CMA says",Negative,0.999762237071991,Positive,0.9984250068664552
2023-07-03T09:09:26.388Z,AstraZeneca shares fall after cancer drug trial disappoints investors,Trial studied patients with advanced non-small cell lung cancer,Negative,0.9999982118606568,Neutral,0.9999639987945556
2023-07-03T04:00:10.426Z,"Water has a private equity, not a private ownership, issue",The listed groups are less geared and have made a better start at tackling problems with ailing infrastructure,Neutral,0.99990713596344,Positive,0.9999810457229614
none,none,none,0,0.0,0,0.0
2023-07-02T17:17:43.310Z,"Thames Water crisis could hit UK investment, ministers warn",Utility seeks £1bn to shore up finances amid concern that investment in US is more attractive,Negative,0.9997634291648864,Positive,0.9999397993087769
2023-07-02T17:00:24.894Z,Barclays seeks to end relationship as Odey Asset Management’s corporate bank ,Group wants to distance itself from hedge fund after sexual misconduct allegations against founder    ,Neutral,0.9999971389770508,Neutral,0.9946812987327576
2023-07-02T04:00:36.406Z,Miner ACG to raise $300mn in test of London’s capital markets,"Spac seeks to buy mines in Brazil in deal backed by Glencore, Stellantis and Volkswagen",Neutral,0.999614715576172,Neutral,0.9999858140945436
2023-07-01T15:57:00.771Z,Tesco appoints City veteran Gerry Murphy as new chair,"Irish businessman replaces John Allan, who left in the wake of misconduct allegations",Neutral,0.9999526739120485,Neutral,0.9956694841384888
none,none,none,0,0.0,0,0.0
2023-07-01T13:00:15.548Z,Where is the embattled UK consumer spending their money?,"Summer clothes, shorter breaks and occasional treats are in but household appliances are out ",Neutral,0.98837810754776,Neutral,0.9999955892562866
2023-06-30T19:50:52.321Z,Thames Water travails threaten to plunge privatised sector into crisis ,CEO’s abrupt exit and revelations of planning for temporary nationalisation intensify scrutiny of debt-laden industry,Negative,0.9998730421066284,Negative,0.9998764991760254
none,none,none,0,0.0,0,0.0
2023-06-30T18:03:45.347Z,Thames Water shareholder shows support for troubled company ,Universities Superannuation Scheme gives backing to turnround plan as Severn Water boss tries to rally sector against nationalisation,Positive,0.9999943971633912,Neutral,0.8287944197654724
2023-06-30T17:14:35.233Z,Odey Asset Management pushes to restructure one of its oldest funds,Move to rehome Freddie Neave’s portfolio follows in the wake of sexual assault claims against firm’s founder,Neutral,0.9990068078041076,Neutral,0.894378662109375
2023-06-30T17:10:30.147Z,City veteran Montague takes on next challenge at Thames Water,Former colleagues say new chair will need all his experience of government and business to fix debt-laden utility,Neutral,0.8944354057312012,Neutral,0.9999423027038574
2023-06-30T09:29:16.455Z,Heathrow appoints Copenhagen airport boss as new chief,Thomas Woldbye to succeed John Holland-Kaye and be tasked with restarting controversial expansion plan,Neutral,0.9999160766601562,Neutral,0.8996027708053589
2023-06-30T09:29:07.129Z,Return of tourists allows Legoland owner Merlin to build back to profit,Europe’s largest theme park operator has recovered its pre-pandemic growth trajectory,Positive,0.9927316308021544,Positive,0.9999961853027344
none,none,none,0,0.0,0,0.0
2023-06-30T04:00:03.736Z,How to pay for private healthcare,"As NHS waiting lists mount, more people are looking at ways of financing private treatment",Neutral,0.9999635219573976,Neutral,0.9998076558113098
2023-06-30T04:00:03.687Z,The high rise and fall of Canary Wharf,HSBC’s decision to leave underlines London financial district’s need to reinvent itself again,Neutral,0.998134434223175,Negative,0.9940565824508668
2023-06-29T18:22:48.845Z,Nigel Farage says he is being driven from UK by pro-Remain banks,Ex-Brexit party leader claims ‘serious political persecution’ as accounts face closure ,Neutral,0.9999955892562866,Negative,0.4984011650085449
2023-06-29T17:54:14.175Z,UK regulator to crack down on electricity generators making ‘excessive profits’,Ofgem proposes reform after finding some power station owners held back supplies to secure higher prices,Negative,0.9999632835388184,Neutral,0.9986901879310608
