Date,us_Titles,us_Subtitles,titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTLabel,Subtitles_finBERTScore
2023-06-30T11:30:02.359Z,Republican candidate Chris Christie: ‘Trump wants to be Putin in America’,The former New Jersey governor on his mission to stop the ex-president returning to power ,Neutral,0.999964475631714,Neutral,0.9535343647003174
2023-06-30T11:00:02.471Z,US election 2024: Republican presidential candidates,A rundown of the leading hopefuls and several long-shot contenders,Neutral,0.9999626874923706,Negative,0.9219372868537904
2023-06-30T11:00:02.431Z,Academics fire carbon ‘arbitrage’ warning Premium content,"Also in today’s newsletter, electric vehicles craze ignites demand for clean nickel in Africa",Neutral,0.973505437374115,Neutral,0.79831463098526
2023-06-30T04:25:44.911Z,Japanese yen falls to 7-month low against dollar,Currency close to levels of last market intervention by Tokyo,Neutral,0.99758780002594,Neutral,0.9998961687088012
2023-06-30T04:00:03.734Z,Corporate diversity in the crosshairs after US Supreme Court ruling,Decision striking down affirmative action in college admissions expected to invite a wave of challenges to companies’ policies,Neutral,0.9941316246986388,Negative,0.9997134804725648
none,none,none,0,0.0,0,0.0
2023-06-30T04:00:03.733Z,Investors’ use of Fed overnight facility falls to lowest in a year,Usage of reverse repo facility falls by more than $200bn this month as money market funds slowly move into Treasuries,Negative,0.9985318183898926,Neutral,0.9961044788360596
2023-06-30T04:00:03.690Z,Don’t lose the exponential benefits of fractional share trading ,Barring younger traders from holding US stocks in Isas risks subtracting investor engagement ,Negative,0.4864431023597717,Negative,0.7187460064888
2023-06-30T04:00:03.578Z,Accounting firms question the partnership model,BDO USA is ditching the profession’s traditional structure and becoming a corporation,Negative,0.9287084341049194,Neutral,0.9997946619987488
2023-06-30T04:00:03.500Z,Why do some UK cities punch below their weight?,Poor transport between cities beyond the south-east is holding back Manchester and Birmingham ,Neutral,0.6708819270133972,Negative,0.9999992847442628
none,none,none,0,0.0,0,0.0
2023-06-29T23:18:28.124Z,US special envoy for Iran on leave amid security clearance review,State department’s Rob Malley expects ‘investigation to be resolved favourably and soon’,Neutral,0.9996541738510132,Neutral,0.9998964071273804
2023-06-29T22:04:08.977Z,Three men charged with insider trading related to Trump media Spac,US authorities allege more than $20mn in ill-gotten profits after private merger information was shared,Neutral,0.99856299161911,Neutral,0.7922049760818481
none,none,none,0,0.0,0,0.0
2023-06-29T17:55:52.096Z,BofA: when plentiful deposits are not a nice problem to have  Premium content,The bank’s ability to take advantage of new opportunities to make higher rate loans has been curtailed,Neutral,0.9981579184532166,Negative,0.9999908208847046
